table,column,dtype,description,bundle_visibility
leads,converted_within_90_days,bool,"Target label (event-derived from a ``closed_won`` event within 90 days). REDACTED from ``tables/leads.parquet`` in public bundles; lives in ``tasks/converted_within_90_days/*.parquet`` instead.",instructor_only
leads,conversion_timestamp,string,"ISO-8601 timestamp of the ``closed_won`` event, or null. REDACTED in public bundles.",instructor_only
touches,touch_id,string,"Opaque touch identifier. Primary key.",public+instructor
touches,lead_id,string,"FK to ``leads.lead_id``.",public+instructor
touches,touch_timestamp,string,"ISO-8601 timestamp of the touch. Public bundles filter to ``<= lead_created_at + snapshot_day`` per the redaction contract.",public+instructor
touches,touch_type,string,"Mechanism of the touch (e.g. ``email``, ``call``, ``ad_view``, ``content_download``).",public+instructor
touches,touch_channel,string,"Marketing/sales channel attribution (e.g. ``paid_search``, ``content``, ``cold_outreach``).",public+instructor
touches,touch_direction,string,"``inbound`` (lead-initiated) or ``outbound`` (vendor-initiated).",public+instructor
touches,campaign_id,string,"Opaque campaign identifier attached to the touch, or null when unattributed.",public+instructor
sessions,session_id,string,"Opaque session identifier. Primary key.",public+instructor
sessions,lead_id,string,"FK to ``leads.lead_id``.",public+instructor
sessions,session_timestamp,string,"ISO-8601 timestamp of the session start. Public bundles filter to ``<= lead_created_at + snapshot_day``.",public+instructor
sessions,session_type,string,"Session type (e.g. ``marketing_site``, ``trial``, ``demo``).",public+instructor
sessions,page_views,int64,"Total page views during the session.",public+instructor
sessions,pricing_page_views,int64,"Page views landing on a pricing URL during the session.",public+instructor
sessions,demo_page_views,int64,"Page views landing on a demo URL during the session.",public+instructor
sessions,session_duration_seconds,int64,"Session duration in seconds.",public+instructor
sales_activities,activity_id,string,"Opaque sales-activity identifier. Primary key.",public+instructor
sales_activities,lead_id,string,"FK to ``leads.lead_id``.",public+instructor
sales_activities,rep_id,string,"Opaque sales-rep id performing the activity.",public+instructor
sales_activities,activity_timestamp,string,"ISO-8601 timestamp of the activity. Public bundles filter to ``<= lead_created_at + snapshot_day``.",public+instructor
sales_activities,activity_type,string,"Activity mechanism (e.g. ``call``, ``email``, ``demo``, ``meeting``).",public+instructor
sales_activities,activity_outcome,string,"Logged outcome (e.g. ``connected``, ``voicemail``, ``no_answer``, ``meeting_set``).",public+instructor
opportunities,opportunity_id,string,"Opaque opportunity identifier. Primary key.",public+instructor
opportunities,lead_id,string,"FK to ``leads.lead_id``.",public+instructor
opportunities,created_at,string,"ISO-8601 timestamp the opportunity was created. Public bundles filter rows to ``<= lead_created_at + snapshot_day``.",public+instructor
opportunities,stage,string,"Current stage at snapshot time (e.g. ``prospecting``, ``demo``, ``negotiation``).",public+instructor
opportunities,estimated_acv,int64,"Estimated annual contract value at snapshot time (USD).",public+instructor
opportunities,close_outcome,string,"Terminal outcome (``closed_won``/``closed_lost``). REDACTED in public bundles.",instructor_only
opportunities,closed_at,string,"ISO-8601 timestamp of the terminal close event. REDACTED in public bundles.",instructor_only
customers,customer_id,string,"Opaque customer identifier. Primary key. Entire ``customers`` table OMITTED from public bundles (its existence reconstructs the conversion label).",instructor_only
customers,opportunity_id,string,"FK to ``opportunities.opportunity_id`` — the deal that converted into this customer record.",instructor_only
customers,account_id,string,"FK to ``accounts.account_id``.",instructor_only
customers,customer_start_at,string,"ISO-8601 timestamp the account became a paying customer.",instructor_only
subscriptions,subscription_id,string,"Opaque subscription identifier. Primary key. Entire ``subscriptions`` table OMITTED from public bundles.",instructor_only
subscriptions,customer_id,string,"FK to ``customers.customer_id``.",instructor_only
subscriptions,plan_name,string,"Subscription plan name (e.g. ``starter``, ``team``, ``enterprise``).",instructor_only
subscriptions,subscription_start_at,string,"ISO-8601 timestamp the subscription started.",instructor_only
subscriptions,subscription_status,string,"Subscription status (e.g. ``active``, ``churned``).",instructor_only
